,CID,HBondDonorCount,HBondAcceptorCount,MolecularWeight,XLogP,CanonicalSMILES,IsomericSMILES,HitFreq,Include
3,9910160,3,4,422.9,4.4,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NC/C=C/C3=CC=CC=C3,3,1
5,141955514,3,4,432.9,4.8,CC=C(C)NC(=O)CNC(=O)C(=C(C)C)C(C1=CC(=CC=C1)Cl)C(=C(C)C)C(=O)O,C/C=C(\C)/NC(=O)CNC(=O)C(=C(C)C)C(C1=CC(=CC=C1)Cl)C(=C(C)C)C(=O)O,3,1
6,141547267,3,5,364.8,2.8,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC)CO)C,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC)CO)C,3,1
7,139926179,3,5,417.9,0.9,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3,3,1
8,139926177,3,5,431.9,2.2,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3=O,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3=O,3,1
9,118694545,2,4,322.74,0.8,CC1=C(C(CC(=O)N1CC(=O)N)C2=CC=C(C=C2)Cl)C(=O)O,CC1=C(C(CC(=O)N1CC(=O)N)C2=CC=C(C=C2)Cl)C(=O)O,2,1
10,118694396,2,4,334.8,-0.9,CC1=C(C(CC(=O)N1CC2CNC2)C3=CC=C(C=C3)Cl)C(=O)O,CC1=C(C(CC(=O)N1CC2CNC2)C3=CC=C(C=C3)Cl)C(=O)O,2,1
11,70157737,2,4,436.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,3,1
12,70157306,3,4,436.9,4.8,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,3,1
13,70155849,3,4,422.9,4.4,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,3,0
